bond_A,X1Sg+,a3Pu,b3Sg-,A1Pu,c3Su+,B1Dg,Bp1Sg+,d3Pg,C1Pg
0.80,-75.13567,-74.97142,-74.79908,-74.93225,-75.14013,-74.99498,-74.74312,-74.95058,-74.90994
0.90,-75.54999,-75.44026,-75.31757,-75.40225,-75.54626,-75.39756,-75.26695,-75.40454,-75.36086
1.00,-75.76989,-75.70022,-75.61164,-75.66266,-75.75552,-75.61241,-75.56627,-75.64678,-75.59958
1.10,-75.87429,-75.83486,-75.77084,-75.79748,-75.84797,-75.73411,-75.73015,-75.76432,-75.71304
1.20,-75.91152,-75.89512,-75.84942,-75.85797,-75.87300,-75.81234,-75.80068,-75.80929,-75.75317
1.25,-75.91460,-75.90760,-75.86938,-75.87064,-75.87026,-75.83389,-75.81882,-75.81504,-75.75614
1.30,-75.91086,-75.91207,-75.88041,-75.87536,-75.86109,-75.84642,-75.82928,-75.81354,-75.75151
1.40,-75.89020,-75.90481,-75.88392,-75.86870,-75.83161,-75.85276,-75.83351,-75.79721,-75.72826
1.50,-75.86057,-75.88495,-75.87228,-75.84951,-75.79744,-75.84376,-75.82304,-75.77403,-75.70500
1.60,-75.82911,-75.85937,-75.85311,-75.82464,-75.76657,-75.82707,-75.80300,-75.75316,-75.69900
1.70,-75.80736,-75.83205,-75.83099,-75.79820,-75.74207,-75.80196,-75.77751,-75.73728,-75.69559
1.80,-75.78725,-75.80527,-75.80844,-75.77279,-75.72377,-75.77961,-75.75385,-75.72444,-75.69056
2.00,-75.75049,-75.75805,-75.76637,-75.73113,-75.72664,-75.74335,-75.71898,-75.70313,-75.68044
2.20,-75.72131,-75.72191,-75.73105,-75.70356,-75.71419,-75.71650,-75.69939,-75.68940,-75.67442
2.40,-75.70083,-75.69710,-75.70417,-75.68740,-75.70305,-75.69811,-75.68940,-75.68038,-75.67203
2.60,-75.68800,-75.68287,-75.68662,-75.67898,-75.69553,-75.68643,-75.68337,-75.67577,-75.67129
2.80,-75.68038,-75.67633,-75.67743,-75.67474,-75.69134,-75.67926,-75.67934,-75.67340,-75.67107
3.00,-75.67596,-75.67350,-75.67353,-75.67266,-75.68927,-75.67502,-75.67673,-75.67216,-75.67096
