bond_A,X1Sg+,a3Pu,b3Sg-,A1Pu,c3Su+,B1Dg,Bp1Sg+,d3Pg,C1Pg
1.00,-0.662520000000,-0.589520000000,-0.504140000000,-0.550130000000,-0.645460000000,-0.465810000000,-0.494050000000,-0.542660000000,-0.485600000000
1.10,-0.767010000000,-0.725040000000,-0.662600000000,-0.686970000000,-0.738830000000,-0.628000000000,-0.627990000000,-0.661690000000,-0.601290000000
1.20,-0.804610000000,-0.786570000000,-0.741650000000,-0.749860000000,-0.765050000000,-0.710400000000,-0.700370000000,-0.708620000000,-0.644960000000
1.30,-0.804440000000,-0.804880000000,-0.773730000000,-0.769510000000,-0.754080000000,-0.745530000000,-0.731840000000,-0.714850000000,-0.648480000000
1.40,-0.784600000000,-0.798790000000,-0.778640000000,-0.764810000000,-0.724830000000,-0.753220000000,-0.737990000000,-0.700090000000,-0.633170000000
1.50,-0.756630000000,-0.779880000000,-0.768450000000,-0.747360000000,-0.690090000000,-0.745660000000,-0.728930000000,-0.677590000000,-0.617030000000
1.60,-0.728950000000,-0.755240000000,-0.750620000000,-0.724160000000,-0.658980000000,-0.730270000000,-0.709750000000,-0.657100000000,-0.609770000000
1.70,-0.705820000000,-0.728970000000,-0.729530000000,-0.699510000000,-0.636230000000,-0.711470000000,-0.684170000000,-0.642160000000,-0.604940000000
1.80,-0.685500000000,-0.703340000000,-0.707800000000,-0.675750000000,-0.623330000000,-0.691880000000,-0.658600000000,-0.630000000000,-0.599290000000
1.95,-0.658370000000,-0.668740000000,-0.676770000000,-0.644560000000,-0.614980000000,-0.664070000000,-0.627200000000,-0.613730000000,-0.591230000000
2.10,-0.635610000000,-0.640120000000,-0.649630000000,-0.620250000000,-0.606650000000,-0.640090000000,-0.605720000000,-0.600430000000,-0.584770000000
2.40,-0.604330000000,-0.601820000000,-0.609400000000,-0.592360000000,-0.591480000000,-0.606430000000,-0.585350000000,-0.585250000000,-0.579940000000
