bond_A,MCPDFT_TZ,MCPDFT_QZ,MCPDFT_5Z
1.50,-2101.31905,-2101.32202,-2101.32325
1.55,-2101.33168,-2101.33542,-2101.33657
1.60,-2101.33875,-2101.34213,-2101.34322
1.68,-2101.34143,-2101.34433,-2101.34529
1.70,-2101.34110,-2101.34390,-2101.34483
1.80,-2101.33646,-2101.33959,-2101.34036
2.00,-2101.32968,-2101.33213,-2101.33270
2.25,-2101.32751,-2101.32974,-2101.33023
2.50,-2101.32675,-2101.32875,-2101.32970
2.75,-2101.32384,-2101.32569,-2101.32875
3.00,-2101.31896,-2101.32075,-2101.32569
3.25,-2101.31335,-2101.31510,-2101.32075
