bond_A,vqe_mcpdft_tz_eV,vqe_mcpdft_qz_eV,vqe_mcpdft_5z_eV
1.50,-0.753199975930,-0.028929758869,-0.808891032900
1.55,-1.096933027683,-0.042328974678,-1.171545950500
1.60,-1.289173245644,-0.049044550505,-1.352308294923
1.68,-1.362254166707,-0.051240477703,-1.408694655301
1.70,-1.353119160437,-0.050815030047,-1.396270789222
1.80,-1.227013600011,-0.046502540179,-1.274549916843
2.00,-1.042479281673,-0.039041769640,-1.066146150429
2.25,-0.983434064426,-0.036655847749,-0.999031509402
2.50,-0.962590063203,-0.035663525398,-0.984510963126
2.75,-0.883540952653,-0.032600387170,-0.958659491842
3.00,-0.750743808402,-0.027658810631,-0.875307389367
3.25,-0.597972350972,-0.022010205806,-0.740840459292
